Language,Survey1,Survey2,Survey3,Survey4,Survey5,Survey6,Survey7,Survey8,Survey9,Survey10,Survey11,Survey12,Survey13,Survey14,Survey15,Survey16,Survey17,Survey18
C++,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y
C,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
C#,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N
Java,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
JavaScript,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,Y
HTML,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y
Python,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N
Perl,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
Ruby,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
SQL,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y
CSS,Y,Y,N,N,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N
Lisp,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
SAS,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MATLAB,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
PHP,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,Y
ActionScript,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Haskell,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
VB.NET,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y
DOS,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,Y
Scala,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
ObjC,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Swift,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
GO,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Rust,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
WebQL,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
XML,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y
HiveQL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA
Impala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA
Bourne Again Shell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Flex & Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
AWK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
