HTML_Web,CSS_Web,JS_Web,AS_Web,PHP_Web,Java_Web,Python_Web,Ruby_Web,Perl_Web,C++_Web,C_Web,Xhp_Web,ASP.NET_Web,XML,C#,Erlang,Elixir,Haskell,Lisp
3<,3<,3<,NONE,NONE,<3,<3,NONE,NONE,NONE,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,3<,NONE,NONE,NONE,3<,NONE,NONE,NONE,NONE,NONE,NONE,NONE,3<,NA,NA,NA,NA,NA
NONE,NONE,NONE,NONE,NONE,3<,NONE,NONE,NONE,3<,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
<3,<3,NONE,NONE,<3,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,3<,3<,NONE,NONE,3<,3<,NONE,NONE,3<,3<,NONE,NONE,NA,3<,NA,NA,NA,NA
3<,3<,3<,NONE,<3,<3,<3,NONE,NONE,<3,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,3<,3<,NONE,NONE,3<,3<,NONE,NONE,3<,NONE,NONE,NONE,NA,3<,NA,NA,NA,NA
3<,NONE,NONE,NONE,NONE,3<,3<,NONE,NONE,3<,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
NONE,NONE,<3,NONE,NONE,3<,NONE,NONE,NONE,3<,<3,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,3<,<3,NONE,NONE,<3,NONE,NONE,NONE,<3,<3,NONE,NONE,NA,NA,NA,NA,NA,NA
<3,NONE,<3,<3,NONE,NONE,3<,NONE,NONE,3<,3<,3<,NONE,NA,NA,NA,NA,NA,NA
3<,3<,3<,NONE,NONE,3<,<3,NONE,NONE,NONE,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,3<,3<,NONE,NONE,<3,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
<3,<3,3<,NONE,NONE,3<,3<,NONE,NONE,NONE,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,3<,3<,NONE,<3,3<,3<,NONE,3<,3<,<3,NONE,NONE,NA,NA,<3,<3,<3,3<
3<,3<,NONE,NONE,NONE,<3,<3,NONE,NONE,3<,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,3<,3<,<3,<3,3<,NONE,NONE,NONE,3<,<3,NONE,3<,NA,NA,NA,NA,NA,NA
NONE,NONE,NONE,NONE,<3,3<,<3,NONE,NONE,3<,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
